회사명,카테고리,설명,링크
Cogniac,ENERGY,Cogniac is an enterprise platform that enables easy automation of any visual task using the latest in AI-based Deep Learning SW solutions.,https://www.plugandplaytechcenter.com/startup/cogniac-ai
Cogny,FINTECH,"Cogny is a document Search and Intelligence technology that empowers users for higher productivity, control, and data sharing.",https://www.plugandplaytechcenter.com/startup/cogny-so
Coin Homes + Piggy,FINTECH,Coin Homes offers BTC collateralized loans.,https://www.plugandplaytechcenter.com/startup/piggy-capital
CoinAfrique,BRAND & RETAIL,CoinAfrique is a mobile application which classifieds ads platform connects online sellers and buyers in 16 African countries.,https://www.plugandplaytechcenter.com/startup/coinafrique-com
Coinnect,INSURTECH,"We are a Cyber Insurtech Company providing innovative solutions for Cyber Risk Assessment, Mitigation and Response. 100% built for Insurers and to make Cyber Insurance a more profitable business.",https://www.plugandplaytechcenter.com/startup/coinnect-io
coinsub,CRYPTO & DIGITAL ASSETS,"All-in-one crypto payment platform that enables merchants to easily manage subscriptions, send invoices and track spending.",https://www.plugandplaytechcenter.com/startup/coinsub-io
Collavate,DEEPTECH,Collavate™ brings together “Collaboration” and “Innovation” by allowing your team to create living documents together.,https://www.plugandplaytechcenter.com/startup/collavate-com
Collect.Africa,FINTECH,The platform built to simplify and accelerate African payments,https://www.plugandplaytechcenter.com/startup/collect-africa
Colonia Tech,MOBILITY,B2B Marketplace for Logistic provides,https://www.plugandplaytechcenter.com/startup/colonia-tech
Commaful,MEDIA & ADVERTISING,"Comma: Share and view beautiful thoughts, stories, and ideas.",https://www.plugandplaytechcenter.com/startup/commaful-com
Commerce.ai,FOOD & BEVERAGE,"Commerce.AI is an AI-powered system that sees, reads, and listens to the world’s product information with Deep Product Learning technology. This technology helps retailers and brands understand what customers are saying about products at the granular feature level.",https://www.plugandplaytechcenter.com/startup/commerce-ai
ComPilot (ex NexeraID),BRAND & RETAIL,"ComPilot makes compliance easy and accessible for all digital asset businesses. By combining cutting-edge technology with the expertise and insights of compliance professionals, we ensure businesses can easily navigate the complex regulatory landscape.",https://www.plugandplaytechcenter.com/startup/compilot-ai
Composabl,ADVANCED MANUFACTURING,Composabl is a platform that assembles intelligent autonomous agents using building blocks that can be composed together.,https://www.plugandplaytechcenter.com/startup/composabl-io
Concentro,FINTECH,Concentro is a tech-enabled marketplace for clean energy tax credits.,https://www.plugandplaytechcenter.com/startup/concentro-io
Concertio,MOBILITY,Concertio is a premier provider of AI-powered performance optimization tools.,https://www.plugandplaytechcenter.com/startup/concertio-com
Condor Software,HEALTH,Revolutionizing biotech finance,https://www.plugandplaytechcenter.com/startup/condorsoftware-co
Connect America,INSURTECH,Connect America is a PA-based provider of life-saving personal emergency response monitoring services.,https://www.plugandplaytechcenter.com/startup/connectamerica-com
Connect Earth,카테고리 없음,Carbon Intelligence for Financial Products,https://www.plugandplaytechcenter.com/startup/connect-earth
Connected,DEEPTECH,"Affordable, hassle-free, connectivity from space. Unlimited messages for everyone, everything, everywhere.",https://www.plugandplaytechcenter.com/startup/connected-space
Connected Wise,SMART CITIES,Elevating transportation safety and connectivity with AI-driven innovation,https://www.plugandplaytechcenter.com/startup/connectedwise-com
Conomy,DEEPTECH,Conomy develops an online platform that allows management of various financial cards.,https://www.plugandplaytechcenter.com/startup/conomyhq-com
Consentio,FOOD & BEVERAGE,Consentio is the whastapp for Fruits and Vegetables B2B Commerce,https://www.plugandplaytechcenter.com/startup/consentio-co
Construct Inc.,ENERGY,Communication platform for teams on physical projects.,https://www.plugandplaytechcenter.com/startup/constructapp-io
Contacti AI,ENTERPRISE & AI,Revolutionize customer service with AI-powered conversations.,https://www.plugandplaytechcenter.com/startup/contacti-ai
Contoro Robotics,SUPPLY CHAIN,Contoro Robotics combines AI and human intelligence with teleoperation.,https://www.plugandplaytechcenter.com/startup/contoro-com
Contro,HEALTH,A telehealth platform offering a online prescription and delivery service for sexual health and confidence products.,https://www.plugandplaytechcenter.com/startup/contro-co-za
ControlPoint Inc,ANIMAL HEALTH,ControlPoint is an animal diagnostics test offering fast in-clinic results detecting multiple respiratory pathogens.,https://www.plugandplaytechcenter.com/startup/controlpointdx-com
Contunity,BRAND & RETAIL,Contunity offers a cloud-based software for electronics development with its B2B SaaS platform.,https://www.plugandplaytechcenter.com/startup/contunity-eu
Convergent Bio,AGTECH,"Our green nano-bioscience supercharges plant input bio-delivery, empowering abundant and resilient food production and a clean and healthy planet.",https://www.plugandplaytechcenter.com/startup/convergent-bio-com
Cooper Pet Care,ANIMAL HEALTH,"Cooper Pet Care is an early-stage European insurtech, building radically better pet health insurance with embedded telemedicine and pet products e-commerce.",https://www.plugandplaytechcenter.com/startup/cooperpetcare-com
Copysight,ENTERPRISE & AI,Unlock the Power of Generative AI Content for Your business.,https://www.plugandplaytechcenter.com/startup/copysight-ai
Coral,HEALTH,"Achieve your best intimate life through a mix of science, stories and practical exercises created by experts, curated for you.",https://www.plugandplaytechcenter.com/startup/getcoral-app
Coral,FINTECH,The easiest way to buy and own investment properties.,https://www.plugandplaytechcenter.com/startup/owncoral-com
Core Biogenesis,AGTECH,Core Biogenesis is a biotechnology company building next-generation recombinant protein production technologies.,https://www.plugandplaytechcenter.com/startup/corebiogenesis-com
Coredio,HEALTH,"CoreDio offers a non-invasive platform for wearable based advanced monitoring, allowing point-of-care medication management for heart failure and other cardiac diseases.",https://www.plugandplaytechcenter.com/startup/coredio-ai-com
Corma,FINTECH,"Offers a SaaS solution to manage the software tools used by teams. Their tool provides 100% visibility into the software architecture, allowing for transparency and control, and enabling the optimization of the value derived from existing software.",https://www.plugandplaytechcenter.com/startup/corma-io
COUP Champagne,DEEPTECH,COUP Champagne provides personalized and luxurious champagne gifts for special occasions.,https://www.plugandplaytechcenter.com/startup/coupchampagne-com
Course Hero,카테고리 없음,"Course Hero is an online learning platform with study resources that help students feel confident and prepared, from day one to graduation.",https://www.plugandplaytechcenter.com/startup/coursehero-com
Coverbase,FINTECH,Coverbase automates 90% of vendor management so companies can spend time actually bettering security and compliance.,https://www.plugandplaytechcenter.com/startup/coverbase-ai
COVU,FINTECH,COVU's mission is to help everyday people and growth-oriented insurance professionals reduce risk and manage insurance smarter.,https://www.plugandplaytechcenter.com/startup/covu-com
Cozie,HEALTH,Organic beauty routine,https://www.plugandplaytechcenter.com/startup/cozie-bio-com
Creative 3D Technologies Inc.,DEEPTECH,"We are a 3D printer design & production firm focused on the creation of innovative, cost-effective, & flexible 3D printing solutions",https://www.plugandplaytechcenter.com/startup/creative3dtechnologies-com
Credenza,SPORTSTECH,Credenza unifies scattered data and technologies using a Universal ID that tracks consumer interactions across both digital and physical spaces.,https://www.plugandplaytechcenter.com/startup/credenza3-com
Credit Sesame,FINTECH,Credit Sesame makes consumer credit and loan management simple and automated.,https://www.plugandplaytechcenter.com/startup/creditsesame-com
CrewAI,ENTERPRISE & AI,CrewAI is the leading AI multi-agent platform. The company OSS and enterprise platform are used by almost half the Fortune 500. Its tools have been dowloaded by developers in 155 countries.,https://www.plugandplaytechcenter.com/startup/crewai-com
Crewting,ENTERPRISE & AI,Optimize hybrid work - platform for hybrid teams and person-centered feedback,https://www.plugandplaytechcenter.com/startup/crewting-com
CREX.capital,FINTECH,"CREX Capital revolutionizes CRE Financing with their E2E lending infrastructure, created to back the first licensed real estate neobank.",https://www.plugandplaytechcenter.com/startup/crex-capital
"Crezit, Inc.",FINTECH,We create the Credit as a Service Platform which enables every companies to start financial services.,https://www.plugandplaytechcenter.com/startup/crezit-jp
Criptan,FINTECH,Criptan is an app-based crypto exchange and crypto solutions provider in Europe and LatAm.,https://www.plugandplaytechcenter.com/startup/criptan-com
CRiskCo,FINTECH,"CRiskCo introduces AI-based on-boarding and underwriting technologies to Banks, Governments, lenders and credit providers applying credit to SMEs.",https://www.plugandplaytechcenter.com/startup/criskco-com
Crop2Cash,FINTECH,Making formal financing accessible to farmers.,https://www.plugandplaytechcenter.com/startup/crop2cash-com-ng
Crossing Minds Inc,BRAND & RETAIL,Crossing Minds is an artificial intelligence products and services company,https://www.plugandplaytechcenter.com/startup/crossingminds-com
CrowdPass,카테고리 없음,Event Management Application for Attendee COVID-19 Clearance,https://www.plugandplaytechcenter.com/startup/crowdpass-co
Cruisebound,TRAVEL & HOSPITALITY,Cruisebound is a travel agency on a mission to make the joy of cruising available to the masses by simplifying the booking experience.,https://www.plugandplaytechcenter.com/startup/cruisebound-com
Crux Analytics,FINTECH,"Crux delivers hyper-local market analytics, allowing financial institutions to catalyze engagement with small businesses.",https://www.plugandplaytechcenter.com/startup/cruxanalytics-com
CryptoMove,ENERGY,"CryptoMove fragments, duplicates, and encrypts data bits in a dynamic and decentralized data vault to protect crown jewels and sensitive information.",https://www.plugandplaytechcenter.com/startup/cryptomove-com
Cryptum,카테고리 없음,Cryptum is an operator of a web3 application development platform.,https://www.plugandplaytechcenter.com/startup/cryptum-io
Crystal Sonic,SMART CITIES,Transforming semiconductor manufacturing by harnessing the power of sound.,https://www.plugandplaytechcenter.com/startup/xtalsonic-com
Ctrl,ENTERPRISE & AI,"One actionable workspace that easily syncs with your apps. Focus, simplify & enjoy the way you work.",https://www.plugandplaytechcenter.com/startup/getctrl-co
